Interview,Description,Factor type,Suggested final interview code,"Suggested final code description (from Dedoose codes, if possible)",Equivalent code in Dedoose?,"Description of greater effectiveness factor (via analytic guide or, if ""No"" in Column F, new)",No or mixed effect for factor?,Direction of no_mixed_effect vote,1,2,3,4,5,6,7,8,9,10,11,12,13
AUTH_FORC,Authorization to use force,Design,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,1,,,,,,,,,
AUTO_MAND,Mandates give enough leeway and autonomy to prevent atrocities as they are happening ,Design,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,1,,,,,,,,,,,
DET_POST,"""Have a deterrent posture (different from mindset). Willingness to engage militarily, gives space to do protection without engaging kinetically to protect civilians.""",Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,,,,,1,,,,,
MILI_FORC,Military force ,Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,,1,,,,,,,,
RULE_ENG,"""Rules of engagement - [limited role / effect] """,Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,No or mixed effect,,,,,,,,,,,,,1
ABS_RSC,Absence of resource seeking conflict,Contextual,RSC_SEEK,Target has access to resources,Yes,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",No,Negative,,,,,,,1,,,,,,
RSC_SEEK,Conflict based on capturing resources,Design,RSC_SEEK,Target has access to resources,Yes,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",No,Negative,,,,,,,,,,1,,,
TRANS_HUB,"""Transportation hubs and aircraft support""",Design,TRANS_HUB,Access to sufficient transport resources,No,"The peace operation has sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.",No,,,,,,,,1,,,,,,
SHRT_TERM,"""Focus on short-term peace gains undermines the imperative of addressing impunity and ensuring accountability of perpetrators. """,Design,SHRT_TERM,Accountability and enforcement mechanism,Yes,The use of the tool includes an accountability and enforcement mechanism.,No,,,,,,,,,,,,1,,
ACCT,"""Avoid abuse / accountability --- abuse sets a bad tone [or “high quality of troops”]""",Design,ACCT,Accountability for implementer actions,No,The implementer is held accountable for human rights abuses.,No,,1,,,,,,,,,,1,,
ACCT_POC,"""Level of accountability for PoC failures by PK operations""",Design,ACCT,Accountability for implementer actions,No,The implementer is held accountable for human rights abuses.,No,,,,,,,1,,,,,,,
ACT_DIFF,"""Difference in state versus non-state actors [mixed effect]""",Contextual,ACT_DIFF,Government principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by the government.",Yes,No or mixed effect,,,,,,,,1,,,1,,
GOV_VIO,"""Government is perpetrating the violence """,Contextual,GOV_VIO,Government principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by the government.",Yes,Negative,,,,,1,,,,,,,,
HG_COMP,Host Government complicity in carrying out MA,Contextual,GOV_VIO,Government principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by the government.",Yes,Negative,,,,,,1,,,,,,,
EXTR_VIO,Violence by extremist groups,Contextual,EXTR_VIO,Non-state armed groups principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",No,Negative,,,,,1,,,,,,,,
NSAG,Non-state Armed Group Perpetrator,Contextual,NSAG,Non-state armed groups principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",No,Negative,,,,,1,,,,,,,,
PWR_SEEK,Violent perpetrators are seeking political power ,Design,EXTR_VIO,Non-state armed groups principally responsible for atrocities,Yes,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",No,Negative,,,,,,,,,,1,,,
NO_BIAS,Unbiased Implementer or Intervention,Contextual,NO_BIAS,Biased implementer or intervention,Yes,"The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.",No,Negative,,1,1,,,1,1,1,1,,,1,
CAP_POC,Building capacity to protect civlilians,Design,CAP_POC,Civilian protection capacity,No,The peace operation has training and sufficient resources to support civilian protection goals.,No,,,,,,,,,,1,,,,
PK_TRAIN,Extent of PK training in protection of civilians ,Design,CAP_POC,Civilian protection capacity,No,The peace operation has training and sufficient resources to support civilian protection goals.,No,,,,,,,1,,,,,,,
CPO,Clear Policy Objectives (cited when prompted),Design,CPO,Clear policy objectives,Yes,The implementer's objectives in using the tool are clear.,No,,1,1,1,,,1,,1,1,,,1,
STRAT,Strategy,Contextual,CPO,Clear policy objectives,Yes,The implementer's objectives in using the tool are clear.,No,,,,,1,,,,,,,,,
AG_LOOSE,Loose command structure of armed groups ,Contextual,AG_LOOSE,Cohesive conflict parties,Yes,The conflict parties are splintered.,No,,,,,,,,,1,,,,,
AG_TYPE,Armed group typology and organizational structure,Contextual,NA,NA,NA,,,,,,,,,,,1,,,,,
CMT_LVL,Level of Commitment of interveners,Contextual,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,1,,,,,,,,,,
CMT_TIME,"""Commitment over time (durability of action/tool)""",Contextual,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,1,,,,,,,,,,
COMM_IMP,Committed Implementer [cited after prompting],Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,1,1,1,,,1,,1,1,,,1,
DOM_POL,Domestic politics of participating countries ,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,1,,,,,,,
DOM_SUPP,Domestic support within the countries of implementing coalition,Contextual,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,1,,,,,,,,,,
FIG_LEAF,"""Fig leaf instead of action """,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,,,,1,,,,
FIN_PWR,"""Financial staying-power""",Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,,,,1,,,,
LACK_WILL,Lack of strategic will ,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,,,,,,,,1
PK_CMT,Commitment from peacekeeper contributing countries/police to do this work,Contextual,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,1,,,,,,,,,,,
QUAL_TROOP,"""High quality and well equipped troops""",Contextual,LEAD,Implementer has strong leadership,Yes,The tool implementer has strong leadership.,No,,1,1,1,,,1,1,,,,,,
RSC_BUDG,Budgetary resources,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,,,,,1,,,
RSC_PKO,Adequale level of resources for PK operations,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,,,,,1,,,,,
SUFF_BUDG,Sufficient budget to cover the mandate ,Contextual,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,1,,,,,,,,,,,
WILL_MAND,Willingness to uphold a POC Mandate,Design,COMM_IMP,Committed implementer,Yes,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",No,,,,,1,,,,,,,,,
ABS_AG,Absence of an agreement ,Contextual,RIPE_PEA,Comprehensive settlement or peace agreement,Yes,There is a comprehensive settlement or peace agreement between the conflict parties.,No,,,,,,,,,,1,,,,
ALT_AC,Alternatives to armed conflict,Contextual,RIPE_PEA,Comprehensive settlement or peace agreement,Yes,There is a comprehensive settlement or peace agreement between the conflict parties.,No,,,,,,,,1,,,,,,
NO_EXIS,"""Conflicts don't have an existential quality""",Contextual,NO_EXIS,Conflict has existential stakes,No,The conflict parties perceive that the conflict has existential stakes for the government or non-state armed group.,No,Negative,,,,,,,1,,,,,,
PMC,Private Militrary Company Presence,Design,PMC,Conflict parties use private military contractors,No,Parties to the conflict rely on private military contractors.,No,Negative,,,,,,,,1,,,1,,
UN_STAFF,The sourcing/staffing of people for longer than 6-8 months; length of deployment ,Contextual,UN_STAFF,Consistent implementation,Yes,The tool is implemented consistently over time and across parties/perpetrator groups.,No,,,,,,,1,,,,,,,
BROAD_CONST,Broad Consent,Contextual,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,,,,1,,,,,,,,
CNST_HG,Consent of Host Government,Design,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,1,,,,,,,,1,,,
DOM_COOP,Domestic Cooperation with the tool,Contextual,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,1,1,1,,,1,1,1,,,,,1
FOM,"""Capacity (freedom of mvmt, mobile assets)""",Contextual,PK_PRES,Widespread deployment of peacekeeping forces,No,The peace operation is deployed across a large proportion of the country in which the conflict is taking place.,No,,,,,1,,,,,,,,,
GOV_FOM,GOvernment is providing freedom of movement ,Contextual,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,,,,1,,,,,,,,
PE_WO_CNST,"""Peace enforcement without consent"" ",Design,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,,,,,,,,1,,,,
PROT_ACC,Protective Access,Contextual,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,,,,,,1,,,,,,
SUS_CONST,Sustained Consent ,Design,CNST_HG,Domestic cooperation or consent with the tool,Yes,The country under study cooperates with the tool.,No,,,,,1,,,,,,,,,
DIAS_PEA,Diaspora in favor of peace agreement ,Contextual,DIAS_PEA,Diaspora in favor of peace agreement,No,The diaspora that is associated with the government or the non-state armed group is generally supportive of a peace agreement to resolve the conflict.,No,,,,,,,,1,,,,,,
CNFLT_STG,Stage of the conflict,Contextual,EARLY_CONF,Early implementation,Yes,The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.,No,,,,,,,,,1,,,,,
CAP_COMMS,Communications capacity,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,,,,,,,,1,,,,,
CAP_EW,Early warning and situational awareness capacity,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,1,,,,,,,,,,,,
COMM_ALERT,Community Alert networks or liaisons,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,,,,,,,,,1,,,,
EW,Early Warning of potential atrocities,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,,,,,,,,,,,1,,
EW_NET,Local early warning networks and communications channels to let people know something is brewing,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,1,,,,,,,1,,,,,
RSC_INTEL,specialized capability around air assets/intelligence around situational awareness,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,,,,,,,,1,,,,,
SURV,Surveillance ,Design,CAP_EW,Early warning and situational awareness capacity,No,The peace operation has the capacity to gather intelligence and warn about new conflict developments.,No,,,,,,,,1,,,,,,
EARLY_CONF,Early in conflict,Contextual,EARLY_CONF,Early implementation,Yes,The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.,No,,,,,1,1,,,,,,,,
STG_AVOID,Stage of the conflict where armed fighting is avoidable,Design,EARLY_CONF,Early implementation,Yes,The tool is implemented early in the conflict or rapidly after the appearance of early warning signs or occurrence of mass atrocities.,No,,,,,,,,,1,,,,,
ETH_ID,Ethnic Identity,Design,ETH_ID,Identity-based conflict,Yes,"The country is experiencing a conflict that concerns the rights or territory of an ethnic, religious, racial, and/or other identity group.",No,No or mixed effect,1,,,,,,,,,,,,
ABS_EXT,Absence of external support,Contextual,ABS_EXT,External assistance or foreign troops,Yes,There are no foreign troops active in the ongoing conflict situation nor are external actors offering assistance to the conflict parties.,No,Negative,,,,1,1,,,,,,,,
INFO_PARA,Overanalysis of information rather than quick response on key factors of MA,Contextual,INFO_PARA,Flexibility and linkage to behavior,Yes,"The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.",No,,,,,,,,,,,,1,,
MIND_PRO,Proactive mindset amongst the PK forces,Design,INFO_PARA,Flexibility and linkage to behavior,Yes,"The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.",No,,,,,,,,,1,,,1,,
RESP_VIO,Responses to specific acts of violence,Design,INFO_PARA,Flexibility and linkage to behavior,Yes,"The use of the tool is flexible and linked to the behavior of the target--i.e., if the target improves their behavior, the tool is lifted.",No,,1,,,,,,,,,,,,
LOC_BUILD,"Building up local capacity and institutiuons (military, police, judiciary)",Contextual,LOC_BUILD,Peacekeeping mission prioritizes governance,No,The peace operation prioritizes governance.,No,,,,,,,,,,1,,,,
COORD_INTEG,"""Coordination and integration around different multidimensional components are important. [cited after prompting]""",Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,,,,,1,,
INTEG_EFF,"""Degree of integration of the effort (e.g., troops should have sustained presence, integrate with longstanding civilian presence). [non-lit factor, cited after prompting]""",Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,,,,,,1,
INTG_OPS,Concepts of operations well integrated between units,Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,1,,,,,,
LACK_UNI,Lack of unified command,Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,,,,,1,,
UN_INTEG,Coordinating work between different UN agencies,Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,1,,,,,,,,,,
UN_WHOLE,Total mobilization of ana apparatus of the UN,Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,1,,,,,,,
CMD_UNITY,Unity of command,Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,,,,,1,,
COH_UN,"""Collective coherence is important for UN country team. Results in selective implementation when you don’t have collective coherence.""",Design,INTEG_EFF,High degree of mission coordination and integration,No,The military and civilian components of the peace operation are well-coordinated.,No,,,,,,,,,,,,1,,
INT_VIO,"""Intercommunal Violence""",Contextual,INT_VIO,Conflict between local actors,No,The conflict that the country is experiencing is between multiple non-state actors.,No,,,,,,1,,,,,,,,
HIST,History of the conflict,Design,HIST,History of conflict,Yes,Neither the parties to the conflict nor the country under study has a history of violent conflict.,No,Negative,,,1,,,,,,,,,,
HIST_LONG,Decreased effectiveness if longstanding conflict ,Design,HIST,History of conflict,Yes,Neither the parties to the conflict nor the country under study has a history of violent conflict.,No,Negative,,,1,,,,,,,,,,
PREV_COAL,Coalition forces have cooperated before on a mission,Contextual,PREV_COAL,History of cooperation between peacekeeping coalition members,No,The individual military forces that make up the peace operation have worked together on previous missions.,No,,,,1,,,,,,,,,,
CIV_MON,Civilian monitoring system for human rights violations,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,,,,,,,,,,,1,,
HR,Human rights components,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,1,,,,,,,,,,,1,
HR_MON,Robust human rights monitoring and reporting,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,,,,,1,,,,,,,,
HTE_MON,Hate speech and incitement to violence monitoring,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,,,,,,,,,,,1,,
INTEL_CAP,Intelligence Capabilities,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,,,,,,,,1,,,,,1
TRCK_TEAM,Dedicated team that is tracking atrocity/violence indicators,Design,CIV_MON,Human rights monitoring capacity,No,The peace operation has the capacity to monitor and report on human rights abuses.,No,,,,,1,,,,,,,,,
